CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO
c1,관광지,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,2023,691,68,55,83,83,82,69,79,48,42,33,30,19
c1,관광지,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,2023,7483,1587,699,481,450,412,353,287,327,293,329,624,1641
c1,관광지,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,2023,14221,4075,1551,471,472,426,370,386,431,378,667,1286,3708
c1,관광지,1112도로,제주특별자치도 제주시 명림로 584 (봉개동),2023,506,79,45,49,39,36,44,42,33,24,33,44,38
c1,관광지,4·3해원방사탑,제주특별자치도 제주시 신산로 82,2023,447,48,27,53,61,50,47,32,27,31,28,29,14
c1,관광지,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,2023,1772,148,151,177,163,141,143,148,145,119,169,123,145
c1,관광지,9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,2023,5731,396,437,646,449,490,490,677,499,377,420,471,379
c1,관광지,998서프 삼양,제주특별자치도 제주시 선사로8길 33,2023,114,0,0,0,0,0,6,35,20,21,21,9,2
c1,관광지,9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,2023,557,47,40,57,68,77,50,37,34,33,32,43,39
c1,관광지,Cafe 몽스파,제주특별자치도 제주시 서사로 28,2023,411,49,39,43,44,39,41,40,40,22,22,16,16
c1,관광지,M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,2023,743,48,46,71,86,96,107,82,70,48,52,21,16
c1,관광지,OK승마장,제주특별자치도 서귀포시 표선면 번영로 2595,2023,209,0,0,0,0,0,0,33,30,43,46,29,28
c1,관광지,SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,2023,1654,280,112,146,144,121,173,130,115,93,74,124,142
c1,관광지,THE WE,제주특별자치도 서귀포시 1100로 453-95,2023,497,45,23,38,54,53,43,45,35,31,39,48,43
c1,관광지,WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,2023,2293,210,149,204,201,217,247,195,161,138,164,215,192
c1,관광지,minagrooming(미나그루밍),제주특별자치도 제주시 한림읍 한림해안로 116,2023,92,0,0,0,0,0,0,0,9,23,22,21,17
c1,관광지,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,2023,609,66,41,53,81,86,49,50,29,35,46,38,35
c1,관광지,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,2023,1248,135,91,118,141,136,90,94,86,90,96,77,94
c1,관광지,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,2023,581,69,40,65,64,54,49,43,37,47,46,40,27
c1,관광지,가뫼물,제주특별자치도 서귀포시 남원읍 남위남성로 168,2023,3485,345,240,325,287,290,234,210,240,254,220,305,535
c1,관광지,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,2023,502,49,55,54,60,38,40,29,30,26,36,43,42
c1,관광지,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,2023,500,63,41,45,49,45,44,29,38,28,40,35,43
c1,관광지,가시림,제주특별자치도 서귀포시 표선면 녹산로5번길 171 (가시리),2023,65,0,0,0,0,0,0,0,0,0,0,0,65
c1,관광지,가야금이 흐르는 제주,제주특별자치도 제주시 광양9길 27,2023,146,0,0,0,0,0,0,3,35,31,22,27,28
c1,관광지,가파도,제주특별자치도 서귀포시 대정읍 가파리,2023,12905,1222,1869,2433,1783,1946,1371,684,502,349,278,234,234
c1,관광지,가파도 마라도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,2023,1313,77,55,123,513,134,92,58,54,60,61,54,32
c1,관광지,가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,2023,582,51,48,68,61,64,67,45,31,30,49,30,38
c1,관광지,각시바우오름,제주특별자치도 서귀포시 호근동 2112,2023,455,43,39,46,62,47,41,29,29,32,36,34,17
c1,관광지,간세공방,제주특별자치도 서귀포시 중정로 22,2023,792,101,77,91,93,94,76,52,55,47,40,36,30
c1,관광지,감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,2023,3589,359,272,243,282,293,292,263,239,253,248,372,473
c1,관광지,감귤박물관 감귤따기 체험,제주특별자치도 서귀포시 효돈순환로 441,2023,58,0,0,0,0,0,0,0,0,0,0,9,49
c1,관광지,감귤박물관 월라봉 산책로 - 생이소리길,제주특별자치도 서귀포시 효돈순환로 441,2023,448,59,34,48,53,49,36,39,27,32,25,28,18
c1,관광지,감귤상웨빵 체험,제주특별자치도 서귀포시 남원읍 하례중앙로 95,2023,632,94,57,58,65,50,59,47,37,49,41,40,35
c1,관광지,감성을담다,제주특별자치도 제주시 구좌읍 평대7길 20-1,2023,160,0,0,0,0,0,15,30,22,28,30,19,16
c1,관광지,감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,2023,551,63,57,62,45,64,43,49,36,41,45,19,27
c1,관광지,갑자기 히어로즈 벽화길,제주특별자치도 제주시 애월읍 금성1길 29-3,2023,619,74,53,66,58,60,54,53,48,45,44,35,29
c1,관광지,갓전시관[갓전수교육관],제주특별자치도 제주시 조천읍 남조로 1904,2023,1214,125,96,119,129,154,101,78,88,100,81,78,65
c1,관광지,강병대교회,제주특별자치도 서귀포시 대정읍 상모대서로 43-3,2023,556,74,47,57,49,68,53,49,38,32,33,26,30
c1,관광지,강정어촌계,제주특별자치도 서귀포시 말질로 290,2023,754,66,52,107,79,91,75,67,53,56,41,34,33
c1,관광지,강정천유원지,제주특별자치도 서귀포시 강정통물로 (강정동),2023,1397,88,58,102,80,116,207,192,302,109,65,36,42
c1,관광지,개떼목장,제주특별자치도 서귀포시 안덕면 평화로 486 (덕수리),2023,562,0,0,0,124,123,55,56,51,47,40,33,33
c1,관광지,개미남,제주특별자치도 제주시 구산로 26,2023,390,48,34,35,38,36,40,31,32,32,28,20,16
c1,관광지,개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,2023,1080,93,72,99,112,117,129,124,97,79,80,47,31
c1,관광지,개오리오름,제주특별자치도 제주시 봉개동,2023,380,41,26,50,39,49,41,37,24,24,26,13,10
c1,관광지,개인공간,제주특별자치도 제주시 매촌1길 3-1,2023,421,50,34,44,38,52,36,52,37,26,23,15,14
c1,관광지,갤러리2 중선농원,제주특별자치도 제주시 영평길 269,2023,663,83,56,65,77,67,56,46,43,46,40,43,41
c1,관광지,거린오름 (북오름),제주특별자치도 서귀포시 안덕면 동광리 산 94,2023,584,57,55,59,86,72,56,42,26,35,35,37,24
c1,관광지,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,2023,11268,761,705,872,1135,1489,1259,819,881,966,851,833,697
c1,관광지,거믄여해안경승지,제주특별자치도 서귀포시 516로,2023,395,41,28,49,47,45,35,37,30,21,30,20,12
c1,관광지,거슨새미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,2023,1220,127,124,139,173,155,128,67,53,62,84,64,44
c1,관광지,거인의 정원,제주특별자치도 제주시 대원길 58,2023,1343,71,53,71,106,118,78,69,61,82,140,221,273
c1,관광지,거친오름,제주특별자치도 제주시 명림로 520 (봉개동),2023,655,47,58,77,85,97,51,50,37,38,53,29,33
c1,관광지,건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,2023,1775,227,142,228,194,160,154,153,118,97,91,86,125
c1,관광지,건강장수마을 산양리 농어촌체험마을,제주시 한경면 중산간서로 3169,2023,535,66,41,51,58,58,44,40,36,32,38,37,34
c1,관광지,걸매생태공원,제주특별자치도 서귀포시 남성로 (서홍동),2023,1375,279,331,308,190,143,124,0,0,0,0,0,0
c1,관광지,걸매생태공원,제주특별자치도 서귀포시 서홍동 1207,2023,747,0,0,0,0,0,0,90,90,88,134,192,153
c1,관광지,걸매예술마을,제주특별자치도 서귀포시 서홍로 4-42,2023,660,77,67,66,64,82,45,65,36,47,46,30,35
c1,관광지,걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393-1,2023,420,60,34,33,41,42,33,30,24,37,45,23,18
c1,관광지,검멀레동굴,제주특별자치도 제주시 우도면,2023,1449,134,116,132,164,162,145,107,100,110,103,95,81
c1,관광지,검멀레해변,제주특별자치도 제주시 우도면 우도해안길,2023,3355,230,185,269,307,388,313,242,242,249,383,303,244
c1,관광지,게우지코지,제주특별자치도 서귀포시 하효동,2023,978,110,87,119,117,119,94,76,49,60,56,58,33
c1,관광지,겨울이네,제주특별자치도 제주시 아란4길 91,2023,269,45,28,27,34,47,42,30,16,0,0,0,0
c1,관광지,고근산(고공산),제주특별자치도 서귀포시 고근산로202번길 48,2023,1200,162,114,133,123,111,86,69,60,90,99,73,80
c1,관광지,고내리 다락쉼터,제주특별자치도 제주시 애월읍 애월해안로 284,2023,767,90,68,82,76,77,73,56,58,62,50,46,29
c1,관광지,고내리포구,제주특별자치도 제주시 애월읍 고내리,2023,607,50,31,74,61,61,69,51,42,51,45,44,28
c1,관광지,"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,2023,831,88,79,93,96,105,72,44,51,53,66,40,44
c1,관광지,고사리숲,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 내 창업보육센터 본관 315호,2023,701,71,59,94,144,69,41,43,34,43,33,37,33
c1,관광지,고산일과해안도로,제주특별자치도 서귀포시 대정읍 영락하동로 9-6,2023,542,58,44,47,74,71,40,39,42,36,32,37,22
c1,관광지,고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,2023,2593,209,165,292,348,313,288,150,149,140,143,217,179
c1,관광지,고씨주택,제주특별자치도 제주시 관덕로17길 27-1,2023,966,125,54,72,83,73,91,80,103,80,77,48,80
c1,관광지,고요산책,제주특별자치도 제주시 중앙로12길 5,2023,790,76,45,73,71,63,59,54,52,67,52,113,65
c1,관광지,고포잇다이브센터,제주특별자치도 서귀포시 이어도로 685-1,2023,476,38,43,56,59,66,41,48,35,27,23,18,22
c1,관광지,고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,2023,1247,150,112,125,121,126,99,71,77,83,74,96,113
c1,관광지,곤물,제주특별자치도 서귀포시 안덕면 화순서서로64번길 64-4,2023,317,36,32,37,29,27,31,25,21,23,18,20,18
c1,관광지,곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,2023,1435,106,100,189,254,132,116,117,68,99,83,105,66
c1,관광지,골프탕탕,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,2023,479,46,43,37,44,45,55,44,29,39,39,30,28
c1,관광지,곱닥한개,제주특별자치도 제주시 설촌로10길 12,2023,1352,42,28,32,31,40,33,1086,60,0,0,0,0
c1,관광지,곱뜨락아띠 향수공방,제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22,2023,140,0,0,0,0,0,9,34,21,28,28,7,13
c1,관광지,공방:하루_반,제주특별자치도 제주시 구좌읍 월정7길 42-6 1층,2023,489,55,28,53,61,58,49,57,26,41,33,11,17
c1,관광지,공천포,제주특별자치도 서귀포시 남원읍 신례리,2023,702,77,49,65,80,72,74,63,53,55,48,39,27
c1,관광지,공천포구,제주특별자치도 서귀포시 남원읍 신례리,2023,539,56,26,47,50,58,51,57,46,41,41,31,35
c1,관광지,곶자왈,제주특별자치도 서귀포시 대정읍 신평리,2023,1877,120,129,167,208,222,177,165,147,130,148,159,105
c1,관광지,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,2023,384,57,28,43,42,46,32,28,30,23,20,15,20
c1,관광지,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),2023,11572,539,486,737,918,1437,1454,1834,1919,834,533,470,411
c1,관광지,곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,2023,914,55,48,82,109,134,144,99,83,65,53,25,17
c1,관광지,관덕정,제주특별자치도 제주시 관덕로 19,2023,5642,474,427,531,667,745,431,449,328,438,397,420,335
c1,관광지,관음사,제주특별자치도 제주시 산록북로 660,2023,1809,200,170,176,182,190,154,128,119,136,147,81,126
c1,관광지,관음사 군 주둔지 옛터,제주특별자치도 제주시 산록북로 660,2023,438,46,36,45,56,45,38,39,24,27,27,23,32
c1,관광지,관음사 야영장,제주특별자치도 제주시 산록북로 588,2023,1369,121,82,132,178,180,143,137,108,119,85,30,54
c1,관광지,관음사 템플스테이,제주시 산록북로 660,2023,694,65,30,55,73,86,71,51,54,52,47,50,60
c1,관광지,광령귤나무,제주특별자치도 제주시 애월읍 광령8길 24-2,2023,381,40,37,45,35,41,32,35,20,26,29,19,22
c1,관광지,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,2023,10642,798,995,1301,1146,1142,741,499,727,606,606,771,1310
c1,관광지,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,2023,4680,258,196,219,241,267,270,255,530,524,751,618,551
c1,관광지,구엄리돌염전,제주특별자치도 제주시 애월읍 애월해안로 708,2023,5343,482,450,501,443,435,481,379,344,429,497,496,406
c1,관광지,구엄포구,제주특별자치도 제주시 애월읍 구엄리,2023,563,60,45,60,61,69,47,50,43,47,38,21,22
c1,관광지,구좌 하도어촌계,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,2023,564,73,57,92,107,116,119,0,0,0,0,0,0
c1,관광지,구좌해안로,제주특별자치도 제주시 구좌읍 구좌해안로,2023,538,55,45,59,55,74,63,39,41,44,30,24,9
c1,관광지,국립제주박물관,제주특별자치도 제주시 일주동로 17,2023,3774,288,205,230,257,295,293,302,235,296,410,487,476
c1,관광지,"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 산 3-1,2023,6235,568,564,681,486,431,316,328,436,502,642,677,604
c1,관광지,굴동포구,제주특별자치도 제주시 구좌읍 해맞이해안로,2023,529,59,42,66,70,71,41,42,33,35,32,17,21
c1,관광지,굿다이버,제주특별자치도 서귀포시 중산간서로 41 (강정동),2023,276,27,16,32,25,37,38,26,22,19,16,9,9
c1,관광지,궁대오름(궁대악),제주특별자치도 서귀포시 성산읍 금백조로 446,2023,534,59,33,55,55,62,44,38,30,40,35,45,38
c1,관광지,귀덕연대,제주특별자치도 제주시 한림읍 귀덕14길 14-5,2023,312,45,22,36,33,35,28,28,22,22,22,12,7
c1,관광지,귀빈사,제주특별자치도 제주시 구좌읍 비자림로 1456,2023,603,67,48,72,77,66,66,41,33,53,38,25,17
c1,관광지,귤밭76번지,제주특별자치도  제주시 화북이동 5495-2,2023,850,0,0,0,0,0,124,96,83,143,142,118,144
c1,관광지,귤밭76번지,제주특별자치도 서귀포시 안덕면 병악로 76,2023,943,289,163,163,166,162,0,0,0,0,0,0,0
c1,관광지,귤빛캠핑장,제주특별자치도 제주시 조천읍 함와로 428,2023,808,111,53,60,73,99,108,60,46,58,56,50,34
c1,관광지,그녀들의 글수다,제주특별자치도 제주시 주르레남길 25,2023,85,0,0,0,0,0,0,3,16,18,23,14,11
c1,관광지,"그대, 나의 뮤즈 : 클림트 to 마티스",제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 제주신화월드 서머셋클럽하우스,2023,42,42,0,0,0,0,0,0,0,0,0,0,0
c1,관광지,그랑블루 요트투어,제주특별자치도 서귀포시 대포로 172-7 2층 그랑블루요트,2023,467,0,0,0,0,0,0,106,69,83,81,55,73
c1,관광지,그랑블루 요트투어,제주특별자치도 서귀포시 대포로 174,2023,765,122,78,116,121,175,153,0,0,0,0,0,0
c1,관광지,그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,2023,567,67,46,65,46,67,62,53,34,37,34,20,36
c1,관광지,그랜드스윙,제주특별자치도 서귀포시 성산읍 섭지코지로 107,2023,32,0,0,0,0,0,0,0,0,0,0,7,25
c1,관광지,그루밍시즌,제주특별자치도 서귀포시 동홍로 29,2023,262,36,28,30,38,42,37,32,19,0,0,0,0
c1,관광지,그루밍제주,제주특별자치도 서귀포시 천제연로 357,2023,435,55,39,46,48,52,36,30,27,31,27,20,24
c1,관광지,그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 광산로 942,2023,1685,172,132,163,139,136,174,174,139,126,103,103,124
c1,관광지,그린크루즈(산방산유람선),제주특별자치도 서귀포시 안덕면 화순해안로106번길 16,2023,730,124,114,143,121,115,113,0,0,0,0,0,0
c1,관광지,그린페블,제주특별자치도 제주시 한림읍 수동7길 54-3,2023,154,0,0,0,0,0,14,30,28,24,27,19,12
c1,관광지,그제바람 윈드서핑패들보드,제주특별자치도 제주시 선사로8길 13-4,2023,554,44,21,38,44,95,69,91,64,35,31,15,7
c1,관광지,금능석물원,제주특별자치도 제주시 한림읍 한림로 176,2023,1914,174,165,209,211,170,136,103,189,175,108,144,130
c1,관광지,금능포구,제주특별자치도 제주시 한림읍 금능리,2023,457,56,22,49,60,59,39,49,30,39,38,9,7
c1,관광지,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,2023,13346,483,564,872,1111,1414,1808,2158,2333,1279,693,369,262
c1,관광지,금당목장ATV,제주특별자치도 서귀포시 안덕면 신화역사로685번길 13-16,2023,177,0,0,0,0,0,7,34,26,22,35,33,20
